"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"12.5";"Sexo, edad y TTHH";"15-19 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"13.3";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"15.1";"Sexo, edad y TTHH";"Hombres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"15.5";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"16.3";"Sexo, edad y TTHH";"Bizkaia";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"16.5";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"18";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"18.1";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"21.8";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Teatro";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"38.4";"Sexo, edad y TTHH";"20-24 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"39.9";"Sexo, edad y TTHH";"Gipuzkoa";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"40.3";"Sexo, edad y TTHH";"Mujeres";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"40.6";"Sexo, edad y TTHH";"Álava";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"41.2";"Sexo, edad y TTHH";"25-29 años";"Eventos culturales";"Museos";"";"";
"Asistencia a eventos culturales (cine, teatro, museos, conciertos) en los últimos 3 meses, según sexo, edad y TTHH";"2022";"41.2";"Sexo, edad y TTHH";"Total";"Eventos culturales";"Museos";"";"";
